Video File,Time (seconds),Time spent in Behavior (seconds),Location,Gradient Index Score,Behavior,Classification,What insect,Bee ID ,Frame Index,Comments
04042022_164_C8_1,866.666,0.233,Kellogg,57.649,anther contact,Suburban,Andrena,79,25975,
04042022_164_C8_1,866.899,,Kellogg,57.649,anther contact,Suburban,Andrena,79,25982,
04042022_164_C8_1,868.301,0.367,Kellogg,57.649,body side PER,Suburban,Andrena,79,26024,
04042022_164_C8_1,868.668,,Kellogg,57.649,body side PER,Suburban,Andrena,79,26035,
04042022_164_C8_1,862.929,6.706,Kellogg,57.649,land,Suburban,Andrena,79,25863,listed as solitary bee
04042022_164_C8_1,869.635,,Kellogg,57.649,leave,Suburban,Andrena,79,26064,
04052022_E87_C6_1,5155.05,0.968,EarthDance,22.573,anther contact,Exurban,Andrena,101,154498,"labled as honey bee but believe it is ""Andrena or Halictus"
04052022_E87_C6_1,5156.018,,EarthDance,22.573,anther contact,Exurban,Andrena,101,154527,"labled as honey bee but believe it is ""Andrena or Halictus"
04052022_E87_C6_1,5156.451,0.067,EarthDance,22.573,anther contact,Exurban,Andrena,101,154540,"labled as honey bee but believe it is ""Andrena or Halictus"
04052022_E87_C6_1,5156.518,,EarthDance,22.573,anther contact,Exurban,Andrena,101,154542,"labled as honey bee but believe it is ""Andrena or Halictus"
04052022_E87_C6_1,5156.018,0.433,EarthDance,22.573,body side PER,Exurban,Andrena,101,154527,"labled as honey bee but believe it is ""Andrena or Halictus"
04052022_E87_C6_1,5156.451,,EarthDance,22.573,body side PER,Exurban,Andrena,101,154540,"labled as honey bee but believe it is ""Andrena or Halictus"
04052022_E87_C6_1,5155.05,1.501,EarthDance,22.573,land,Exurban,Andrena,101,154498,"labled as honey bee but believe it is ""Andrena or Halictus"
04052022_E87_C6_1,5156.551,,EarthDance,22.573,leave,Exurban,Andrena,101,154543,"labled as honey bee but believe it is ""Andrena or Halictus"
04102022_12_C2_3,3831.161,0.367,COLA,26.266,anther contact,Exurban,Andrena,114,114821,
04102022_12_C2_2,3831.528,,COLA,26.266,anther contact,Exurban,Andrena,114,114832,
04102022_12_C2_2,3844.741,1.535,COLA,26.266,anther contact,Exurban,Andrena,114,115228,
04102022_12_C2_2,3846.276,,COLA,26.266,anther contact,Exurban,Andrena,114,115274,
04102022_12_C2_2,3857.921,2.402,COLA,26.266,anther contact,Exurban,Andrena,114,115623,
04102022_12_C2_2,3860.323,,COLA,26.266,anther contact,Exurban,Andrena,114,115695,
04102022_12_C2_2,3868.264,1.535,COLA,26.266,anther contact,Exurban,Andrena,114,115933,
04102022_12_C2_2,3869.799,,COLA,26.266,anther contact,Exurban,Andrena,114,115979,
04102022_12_C2_2,3902.098,1.702,COLA,26.266,anther contact,Exurban,Andrena,114,116947,
04102022_12_C2_2,3903.8,,COLA,26.266,anther contact,Exurban,Andrena,114,116998,
04102022_12_C2_2,3831.528,4.304,COLA,26.266,head frontal PER,Exurban,Andrena,114,114832,
04102022_12_C2_2,3835.832,,COLA,26.266,head frontal PER,Exurban,Andrena,114,114961,
04102022_12_C2_2,3846.276,11.645,COLA,26.266,head frontal PER,Exurban,Andrena,114,115274,
04102022_12_C2_2,3857.921,,COLA,26.266,head frontal PER,Exurban,Andrena,114,115623,
04102022_12_C2_2,3869.799,31.599,COLA,26.266,head frontal PER,Exurban,Andrena,114,115979,
04102022_12_C2_2,3901.398,,COLA,26.266,head frontal PER,Exurban,Andrena,114,116926,
04102022_12_C2_2,3838.201,5.739,COLA,26.266,head side PER,Exurban,Andrena,114,115032,
04102022_12_C2_2,3843.94,,COLA,26.266,head side PER,Exurban,Andrena,114,115204,
04102022_12_C2_2,3860.323,6.54,COLA,26.266,head side PER,Exurban,Andrena,114,115695,
04102022_12_C2_2,3866.863,,COLA,26.266,head side PER,Exurban,Andrena,114,115891,
04102022_12_C2_2,3831.161,72.672,COLA,26.266,land,Exurban,Andrena,114,114821,
04102022_12_C2_2,3903.833,,COLA,26.266,leave,Exurban,Andrena,114,116999,
04102022_12_C2_2,3835.832,2.369,COLA,26.266,pollinator combo,Exurban,Andrena,114,114961,
04102022_12_C2_2,3838.201,,COLA,26.266,pollinator combo,Exurban,Andrena,114,115032,
04102022_12_C2_2,3866.863,1.401,COLA,26.266,unclear,Exurban,Andrena,114,115891,
04102022_12_C2_2,3868.264,,COLA,26.266,unclear,Exurban,Andrena,114,115933,
04122022_124_C9_1,3620.083,2.703,EarthDance,22.573,anther contact,Exurban,Andrena,141,108495,
04122022_124_C9_1,3622.786,,EarthDance,22.573,anther contact,Exurban,Andrena,141,108576,
04122022_124_C9_1,3624.154,1.401,EarthDance,22.573,anther contact,Exurban,Andrena,141,108617,
04122022_124_C9_1,3625.555,,EarthDance,22.573,anther contact,Exurban,Andrena,141,108659,
